year,month,day,hour,lat,depth,lon
2017,10,24,2,-43.414295997724345,3326,55.46011524541103
2017,10,24,2,-43.411007957411584,3327,55.448495420322274
2017,10,24,2,-43.41105299392956,3328,55.4483996763405
2017,10,24,2,-43.41079592398137,3329,55.44827709668778
2017,10,24,2,-43.41070791494129,3330,55.44832167540864
2017,10,24,3,-43.40994877708162,3331,55.439524688871536
2017,10,24,3,-43.40999913019552,3332,55.43952681580747
2017,10,24,3,-43.410028855497856,3333,55.43912320444527
2017,10,24,3,-43.40997668714724,3334,55.43938666258714
2017,10,24,3,-43.416476745477155,3335,55.44201499248831
2017,10,24,3,-43.41637564646865,3336,55.44193808747644
2017,10,24,3,-43.41643107044312,3337,55.44205926334033
2017,10,24,3,-43.41647858923736,3338,55.44176775697922
2017,10,24,4,-43.41600285418329,3339,55.43447642183426
2017,10,24,4,-43.41578155574008,3340,55.4344223260573
2017,10,24,4,-43.415761631424,3341,55.42678164028509
2017,10,24,4,-43.41519166610408,3342,55.42690867379982
2017,10,24,5,-43.41552987213253,3343,55.408777097639636
2017,10,24,5,-43.41562885259801,3344,55.40872886975364
2017,10,24,5,-43.415814669480106,3345,55.40874656346058
2017,10,24,5,-43.4115282432316,3346,55.395031077941816
2017,10,24,5,-43.413881707365206,3347,55.39425233362811
2017,10,24,5,-43.41398106311274,3348,55.3944081594561
2017,10,24,6,-43.417558435501576,3349,55.3832921871765
2017,10,24,6,-43.417268941742726,3350,55.383325960742674
2017,10,24,6,-43.41768540243503,3351,55.383118568169536
2017,10,24,6,-43.417480021849,3352,55.38340526486397
2017,10,24,6,-43.42651130712937,3353,55.37388620648901
2017,10,24,6,-43.427061769366034,3354,55.374251828927896
2017,10,24,6,-43.426720027920666,3355,55.37320718630106
2017,10,24,7,-43.427867163107436,3356,55.35761440025525
2017,10,24,7,-43.428007023318,3357,55.35751988341831
2017,10,24,7,-43.42844741449999,3358,55.35700232182867
2017,10,24,7,-43.42619031822088,3359,55.343829702728776
2017,10,24,7,-43.426372818444726,3360,55.34358623695872
2017,10,24,7,-43.425058432885045,3361,55.32973990652346
2017,10,24,7,-43.42437068561252,3362,55.3302063302764
2017,10,24,7,-43.42493958478276,3363,55.32981201626833
2017,10,24,8,-43.42185226669038,3364,55.319833862065344
2017,10,24,8,-43.42205300282375,3365,55.319716651060546
2017,10,24,8,-43.42218810182322,3366,55.319664178903764
2017,10,24,8,-43.422030506333286,3367,55.3196748134773
